source,run_name,run_path,model_label,model_short,seed,split_dir,esm_root,sequence_feature_root,metric_scope,done_event,last_epoch,best_epoch,f1_best,f1_at_0_5,best_threshold,pr_auc,auroc,mcc_best,mcc_at_0_5,top5,top10,val_loss,curated
hpc2,contact_site_esm_mlc_predstruct_full_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_predstruct_full_reg_seed42_e30_lr5e5_hpcue_20260619_002109,MLC ESM | PredStruct scalar | +context +contact,MLC + PS + contact,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,28,0.7313625048563248,0.7309795731266379,0.46,0.8180544917200856,0.865127441256746,0.5697302937244524,0.564375144745077,0.8910324715383321,0.8621594273507477,0.5284251258486793,True
hpc2,contact_site_esm_mlc_predstruct_full_reg_seed43_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_predstruct_full_reg_seed43_e30_lr5e5_hpcue_20260619_002109,MLC ESM | PredStruct scalar | +context +contact,MLC + PS + contact,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7293546440987378,0.7275235652070159,0.44,0.8194562854000498,0.863950821580438,0.5661674010488504,0.5620799571153064,0.8828818723945189,0.8562099464078252,0.5406348407268524,True
hpc2,contact_site_esm_mlc_predstruct_full_reg_seed44_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_predstruct_full_reg_seed44_e30_lr5e5_hpcue_20260619_002109,MLC ESM | PredStruct scalar | +context +contact,MLC + PS + contact,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,30,0.7320602795042388,0.7318540259382712,0.48,0.8250092547937592,0.8688827130636253,0.5754218399946073,0.5664178724363519,0.8832370590544557,0.8569220102687104,0.5190432653540656,True
hpc2,contact_site_esm_mlc_predstruct_nograph_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_predstruct_nograph_reg_seed42_e30_lr5e5_hpcue_20260619_002109,MLC ESM | PredStruct scalar | +context no-contact,MLC + PS + no graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,16,0.7286598103618798,0.7231458032857961,0.41,0.8110078854166808,0.8638158433287635,0.5581633355418469,0.5571357089401789,0.8763950423419886,0.8498482179664956,0.5179288344723838,True
hpc2,contact_site_esm_mlc_noseq_contact_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_noseq_contact_reg_seed42_e30_lr5e5_hpcue_20260619_002109,MLC ESM | No scalar | +context +contact,MLC + no scalar + contact,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,,validation,False,30,28,0.7287791265119037,0.7273830904300921,0.43,0.8155853534673717,0.8658626118818554,0.5695969232142657,0.5635999379072469,0.8880414259809695,0.8578214593561444,0.5423196738674527,True
hpc2,contact_site_esm_mlc_predstruct_full_nostrongreg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_mlc_predstruct_full_nostrongreg_seed42_e30_lr5e5_hpcue_20260619_002109,MLC ESM | PredStruct scalar | +context +contact weak-reg,MLC + PS + contact weak-reg,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,22,0.7281709455775407,0.7258265987158166,0.45,0.8148153009203732,0.8621664226300276,0.5617699591751742,0.5545091224919427,0.8897051950722524,0.8593018026458794,0.5842367098444984,True
hpc2,contact_site_esm_final_contact_predstruct_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_final_contact_predstruct_reg_seed42_e30_lr5e5_hpcue_20260619_002109,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7108309404688028,0.7100409945605884,0.48,0.7942466317596768,0.8481504240675932,0.5279247833215909,0.5233451485293343,0.8733853027498925,0.8412097590225986,0.5157077312469482,True
hpc2,contact_site_esm_final_contact_noseq_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_final_contact_noseq_reg_seed42_e30_lr5e5_hpcue_20260619_002109,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.7062340971313555,0.7056943478869531,0.46,0.7789233079213628,0.8457295836718751,0.5199743833634296,0.5158696747257242,0.8401286149589666,0.8122868493048008,0.5222329659895464,True
hpc2,contact_site_esm_predstruct_noctx_reg_seed43_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_predstruct_noctx_reg_seed43_e30_lr5e5_hpcue_20260619_002109,Final ESM | PredStruct scalar | no-context no-contact,Final + PS no-context,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,28,0.705997888359698,0.7057475086168141,0.47,0.7890485247119992,0.8455288549794744,0.521646759007684,0.5132983066814071,0.8833118351933897,0.8444608927032192,0.5541577168873378,True
hpc2,contact_site_esm_predstruct_noctx_reg_seed44_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_predstruct_noctx_reg_seed44_e30_lr5e5_hpcue_20260619_002109,Final ESM | PredStruct scalar | no-context no-contact,Final + PS no-context,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,30,0.7106057015419878,0.7101672889735338,0.43,0.7915125197327595,0.8475458507643918,0.5288580937867273,0.5244995860027086,0.8715532873460079,0.8393827530637484,0.5456502054418836,True
hpc2,contact_site_esm_noseq_noctx_relaxed_reg_seed42_e30_lr5e5_hpcue_20260619_002109,runs/contact_site_esm_noseq_noctx_relaxed_reg_seed42_e30_lr5e5_hpcue_20260619_002109,Final ESM | No scalar | no-context no-contact,Final + no scalar no-context,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.7065662694096575,0.7058459810878904,0.47,0.7646027860836032,0.8412901849515015,0.5167898801635552,0.5157968048255419,0.8495130203951919,0.8229396994340966,0.5757171937397548,True
hpc2,contact_site_esm_mlc_predstruct_nograph_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_mlc_predstruct_nograph_reg_seed43_e30_lr5e5_hpcue_20260619_002328,MLC ESM | PredStruct scalar | +context no-contact,MLC + PS + no graph,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,24,0.7316169860846428,0.7309346284403331,0.45,0.8168962421856687,0.8621687318062038,0.5683197894144827,0.5652472265315169,0.8881535901893706,0.8578495671401267,0.5312219574337914,True
hpc2,contact_site_esm_mlc_noseq_contact_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_mlc_noseq_contact_reg_seed43_e30_lr5e5_hpcue_20260619_002328,MLC ESM | No scalar | +context +contact,MLC + no scalar + contact,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,,validation,False,30,30,0.7231274683043172,0.7231274683043172,0.5,0.8054895562398543,0.8556339172615989,0.5564701405511904,0.5482346598536948,0.877423214252332,0.8477026571225125,0.5681584420658293,True
hpc2,contact_site_esm_final_contact_predstruct_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_predstruct_reg_seed43_e30_lr5e5_hpcue_20260619_002328,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7120646504525054,0.7118636140955173,0.46,0.7966251291091888,0.8526560970707628,0.5303338763685197,0.5233021378026737,0.8787131026489448,0.8450043098602106,0.5048293417150324,True
hpc2,contact_site_esm_final_contact_noseq_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_noseq_reg_seed43_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,29,0.70737667138387,0.7035756980800113,0.43,0.7790714795686622,0.8435407710196712,0.5223868734711025,0.5205427486872749,0.8629166432991232,0.8233613161938312,0.5277262167497114,True
hpc2,contact_site_esm_noseq_noctx_relaxed_reg_seed43_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_noseq_noctx_relaxed_reg_seed43_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | no-context no-contact,Final + no scalar no-context,43,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.7043380869270034,0.7029202622276286,0.41,0.7679851093397446,0.8395187722837257,0.5108569860824832,0.5078194718449455,0.854691268016376,0.8117715399317917,0.5788792967796326,True
hpc2,contact_site_esm_mlc_predstruct_nograph_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_mlc_predstruct_nograph_reg_seed44_e30_lr5e5_hpcue_20260619_002328,MLC ESM | PredStruct scalar | +context no-contact,MLC + PS + no graph,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,28,0.7331354140576498,0.7315856073197989,0.44,0.8187453671074877,0.8650950881768832,0.5685893504894398,0.5665512824810676,0.8815545959284392,0.8544953715849043,0.5105345490432921,True
hpc2,contact_site_esm_mlc_noseq_contact_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_mlc_noseq_contact_reg_seed44_e30_lr5e5_hpcue_20260619_002328,MLC ESM | No scalar | +context +contact,MLC + no scalar + contact,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D_mlc/pt,,validation,False,30,27,0.7280995146667427,0.7262899105688256,0.43,0.8165920869830313,0.865626881627734,0.5611990251603017,0.5576767051992234,0.8841904548258651,0.8548607727766743,0.5240128565402258,True
hpc2,contact_site_esm_final_contact_predstruct_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_predstruct_reg_seed44_e30_lr5e5_hpcue_20260619_002328,Final ESM | PredStruct scalar | +context empty-graph,Final + PS empty graph,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,28,0.7089753708771424,0.708727094634794,0.48,0.7975720605575481,0.8512508149795303,0.5264113598917532,0.5179864645045023,0.8678518684687716,0.8392796911891467,0.5122706863013181,True
hpc2,contact_site_esm_final_contact_noseq_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_final_contact_noseq_reg_seed44_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | +context empty-graph,Final + no scalar empty graph,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,26,0.7124617468230413,0.7112472115382331,0.46,0.785648078432369,0.8465203237243683,0.5281099972340072,0.5253339598497586,0.8599629858112277,0.8179552524079001,0.5201397077603773,True
hpc2,contact_site_esm_noseq_noctx_relaxed_reg_seed44_e30_lr5e5_hpcue_20260619_002328,runs/contact_site_esm_noseq_noctx_relaxed_reg_seed44_e30_lr5e5_hpcue_20260619_002328,Final ESM | No scalar | no-context no-contact,Final + no scalar no-context,44,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,,validation,False,30,30,0.7059510492954277,0.7036067428578306,0.45,0.7739218948462339,0.8414980111277106,0.5256481140315654,0.5156010732409092,0.8480361916512441,0.8150039350897575,0.5782188858304705,True
star,star_final_predstruct_context_nograph_20260618_171453,figures/raw/star_final_predstruct_context_nograph_20260618_171453,Final ESM | PredStruct scalar | +context no-contact,Final + PS + context no graph,42,features/contact_labels/splits_mmseq30_tmk_no_len_limit_predstruct_relaxed,features/esm2_t33_650M_UR50D/pt,features/pred_struct_sequence_scalar_relaxed/pt,validation,False,30,29,0.7029910601900368,0.702482320595271,0.48,0.785861143325039,0.8427662270798646,0.5192869137386854,0.5113315515339699,0.8712541827902717,0.8310347412210022,0.5265039503574371,True
